index,SEND_SPG_INNB,REC_SPG_INNB,DL_GD_LCLS_NM,DL_GD_MCLS_NM,INVC_CONT
0,1129000000000000.0,5011000000000000.0,패션의류,상의,3
1,1135000000000000.0,5011000000000000.0,생활/건강,반려동물,3
2,1135000000000000.0,5011000000000000.0,패션의류,기타패션의류,9
3,1154500000000000.0,5011000000000000.0,식품,농산물,10
4,1165000000000000.0,5011000000000000.0,식품,가공식품,3
5,1168000000000000.0,5011000000000000.0,화장품/미용,스킨케어,5
6,1171000000000000.0,5011000000000000.0,식품,농산물,5
7,2623000000000000.0,5011000000000000.0,패션의류,기타패션의류,5
8,2626000000000000.0,5011000000000000.0,식품,가공식품,3
9,2726000000000000.0,5011000000000000.0,식품,기타식품,3
10,2729000000000000.0,5011000000000000.0,생활/건강,생활용품,3
11,2811000000000000.0,5011000000000000.0,식품,건강식품,5
12,2820000000000000.0,5011000000000000.0,생활/건강,주방용품,5
13,2914000000000000.0,5011000000000000.0,식품,가공식품,3
14,3023000000000000.0,5011000000000000.0,생활/건강,건강용품,3
15,3023000000000000.0,5011000000000000.0,식품,냉동/간편조리식품,3
16,3023000000000000.0,5013000000000000.0,식품,냉동/간편조리식품,4
17,4111300000000000.0,5011000000000000.0,생활/건강,건강용품,7
18,4119900000000000.0,5011000000000000.0,식품,건강식품,3
19,4119900000000000.0,5011000000000000.0,식품,건강식품,4
20,4119900000000000.0,5013000000000000.0,식품,건강식품,3
21,4121000000000000.0,5011000000000000.0,생활/건강,문구/사무용품,3
22,4121000000000000.0,5011000000000000.0,생활/건강,문구/사무용품,4
23,4122000000000000.0,5011000000000000.0,식품,축산,4
24,4127300000000000.0,5013000000000000.0,패션의류,상의,5
25,4128500000000000.0,5011000000000000.0,생활/건강,주방용품,10
26,4136000000000000.0,5011000000000000.0,식품,기타식품,3
27,4136000000000000.0,5011000000000000.0,식품,농산물,3
28,4136000000000000.0,5011000000000000.0,생활/건강,반려동물,3
29,4136000000000000.0,5011000000000000.0,생활/건강,반려동물,3
30,4136000000000000.0,5011000000000000.0,생활/건강,반려동물,3
31,4141000000000000.0,5011000000000000.0,식품,가공식품,17
32,4141000000000000.0,5011000000000000.0,생활/건강,건강용품,42
33,4141000000000000.0,5011000000000000.0,식품,가공식품,31
34,4141000000000000.0,5011000000000000.0,화장품/미용,스킨케어,5
